iter	Logloss
276	0.3014898505
277	0.3013857229
278	0.3012896456
279	0.3011313027
280	0.3009896542
281	0.300776882
282	0.3006888382
283	0.3005479867
284	0.3003517073
285	0.3002318158
286	0.3000743165
287	0.2998764723
288	0.2997408195
289	0.2996467206
290	0.2994552478
291	0.299370247
292	0.2993030164
293	0.2991548822
294	0.2990084023
295	0.2988369967
296	0.2986585548
297	0.2985148517
298	0.2983827291
299	0.2982764785
300	0.298269183
301	0.2981268205
302	0.2979775286
303	0.2979121396
304	0.2977617915
305	0.2976425547
306	0.2975005997
307	0.2974266094
308	0.2973357418
309	0.297149341
310	0.2970006576
311	0.2968791126
312	0.2968010945
313	0.2967333898
314	0.2965798285
315	0.2963670249
316	0.2962538926
317	0.2961052262
318	0.2959557927
319	0.2958143804
320	0.2957130141
321	0.2955568247
322	0.2954508481
323	0.2953243958
324	0.2952184858
325	0.2951256162
326	0.2949906243
327	0.2949040886
328	0.2947805383
329	0.294618296
330	0.2945148636
331	0.2944963177
332	0.2943085784
333	0.2942017675
334	0.2940544051
335	0.2939701146
336	0.2938887534
337	0.2938147163
338	0.2937242971
339	0.2936090781
340	0.2934619279
341	0.2933227774
342	0.2931457136
343	0.293051908
344	0.2929262443
345	0.2927362049
346	0.2925973397
347	0.2925402094
348	0.2924272592
349	0.2923176626
350	0.2921984022
351	0.2920731606
352	0.2919513537
353	0.2918187002
354	0.2916908587
355	0.2915936421
356	0.2915334452
357	0.2914361395
358	0.2913552121
359	0.2912468146
360	0.291149399
361	0.2910009105
362	0.290738693
363	0.2906125909
364	0.2904605991
365	0.2903215773
366	0.2901905352
367	0.2900091036
368	0.2897952896
369	0.2896511954
370	0.2895530639
371	0.2894538161
372	0.289348658
373	0.2892289476
374	0.289111157
375	0.2890319145
376	0.2889295969
377	0.2887998553
378	0.288718747
379	0.2886051236
380	0.2885306549
381	0.2884452855
382	0.2883204516
383	0.2881918633
384	0.2880778679
385	0.2879907858
386	0.2878269791
387	0.2876327728
388	0.2874922552
389	0.2873546315
390	0.2872161098
391	0.2870591815
392	0.2869305532
393	0.2868500874
394	0.2868023118
395	0.2866932799
396	0.2865375922
397	0.2864217203
398	0.2863106206
399	0.2862062818
400	0.2860825028
401	0.2859508412
402	0.2858475118
403	0.2857597738
404	0.2856684726
405	0.2855286479
406	0.2854268757
407	0.2853432791
408	0.2852843389
409	0.2851862585
410	0.2850203471
411	0.2849281136
412	0.2847747132
413	0.2846932696
414	0.2845833142
415	0.2844571567
416	0.2842976927
417	0.2842214254
418	0.2840968312
419	0.2840103583
420	0.2839241218
421	0.2838013974
422	0.2836897251
423	0.2836093667
424	0.2834827403
425	0.2833958342
426	0.2832643753
427	0.2831593118
428	0.2830301569
429	0.2828430742
430	0.2827326078
431	0.282664283
432	0.2825406016
433	0.2823798462
434	0.2822654254
435	0.2821981624
436	0.2820205094
437	0.2818521344
438	0.2817530286
439	0.2816432989
440	0.2815402014
441	0.2814314756
442	0.2813040581
443	0.2811729164
444	0.2810501237
445	0.2809583985
446	0.2807870589
447	0.2806192354
448	0.2804811671
449	0.2803400293
450	0.2802374892
451	0.2800710667
452	0.2798836757
453	0.2797991349
454	0.279708185
455	0.27960279
456	0.2794616624
457	0.2793295753
458	0.2792390533
459	0.27910478
460	0.2789553178
461	0.2788462459
462	0.2787256051
463	0.2786158871
464	0.2785408399
465	0.2784309973
466	0.2783116109
467	0.2782214895
468	0.2780944709
469	0.2779390296
470	0.2778039934
471	0.2776702742
472	0.2775602986
473	0.2774654614
474	0.277396549
475	0.2772100707
476	0.2771252291
477	0.2769802921
478	0.2768511901
479	0.276792949
480	0.276683597
481	0.2765441346
482	0.2764368119
483	0.2762859273
484	0.2761547252
485	0.2760159204
486	0.2759018006
487	0.275802104
488	0.2757249753
489	0.275517067
490	0.2753614207
491	0.2752518551
492	0.2750662168
493	0.2749596755
494	0.2748804536
495	0.2747618864
496	0.2746684051
497	0.2745654337
498	0.2744498048
499	0.2743229616
500	0.2741873709
501	0.2740932058
502	0.2739467847
503	0.2738038627
504	0.2736923898
505	0.2735767282
506	0.2734585737
507	0.2733062208
508	0.2731921911
509	0.2730263304
510	0.2729083866
511	0.2727553483
512	0.272629372
513	0.27251503
514	0.2723639236
515	0.2722407507
516	0.272129489
517	0.2720085955
518	0.2718523773
519	0.2717390247
520	0.2716488752
521	0.27153931
522	0.2714246798
523	0.2713179633
524	0.2712076261
525	0.2710666858
526	0.2710170132
527	0.2708827776
528	0.2707618426
529	0.2706396221
530	0.2705304036
531	0.270430225
532	0.2702952411
533	0.270185827
534	0.2700741597
535	0.2699608794
536	0.2697762651
537	0.2696579162
538	0.2695555262
539	0.26948644
540	0.2693785242
541	0.2692453037
542	0.2691415658
543	0.2690275092
544	0.2689230287
545	0.2687699608
546	0.2686582153
547	0.2685370181
548	0.2684474647
549	0.268339283
550	0.2682516148
551	0.2681139681
552	0.2680035468
553	0.2678782302
554	0.2677797981
555	0.2676606706
556	0.2675472841
557	0.2674626093
558	0.2673592654
559	0.2672017513
560	0.2671065295
561	0.2669512997
562	0.2668709418
563	0.2668073403
564	0.2666790678
565	0.2665555447
566	0.2664607702
567	0.2663825752
568	0.2662653152
569	0.266182492
570	0.2660620707
571	0.2659329984
572	0.2658437198
573	0.2657419656
574	0.265631694
575	0.2655722362
576	0.2654413531
577	0.2653356499
578	0.2652387867
579	0.2651448754
580	0.265009515
581	0.2648992442
582	0.264788346
583	0.2646669292
584	0.2645927289
585	0.2643647699
586	0.2642917923
587	0.2641873354
588	0.2640939445
589	0.2639690137
590	0.2638461603
591	0.2637214153
592	0.2636306335
593	0.2635230758
594	0.2633611239
595	0.2632811856
596	0.2631899958
597	0.2630737711
598	0.2628841093
599	0.2627360271
600	0.2626247031
601	0.2625374183
602	0.2624443365
603	0.2622985505
604	0.2622297648
605	0.2620539956
606	0.2619435977
607	0.2618436131
608	0.261732343
609	0.2616284694
610	0.2615453941
611	0.2614504955
612	0.2613395855
613	0.2612404933
614	0.2610944605
615	0.2610007083
616	0.260951326
617	0.260853064
618	0.2607663614
619	0.2606494137
620	0.2605210286
621	0.2604240868
622	0.2603342933
623	0.26023385
624	0.2601683717
625	0.2600631019
626	0.2599538828
627	0.2598188648
628	0.2596936089
629	0.2596111264
630	0.2595017324
631	0.2593980503
632	0.2593330409
633	0.2592146163
634	0.2591242572
635	0.2590301702
636	0.2589323576
637	0.2588228889
638	0.2587168437
639	0.2585659452
640	0.2584771151
641	0.2583752921
642	0.2582946521
643	0.2582301221
644	0.2581534776
645	0.2580593413
646	0.2579665772
647	0.2578766719
648	0.2578199348
649	0.2577243731
650	0.2575623574
651	0.2574814358
652	0.2574200514
653	0.257346486
654	0.2572267606
655	0.2571505961
656	0.2570242141
657	0.2569086036
658	0.2568149794
659	0.256754321
660	0.2566915732
661	0.2566117984
662	0.2565177843
663	0.2564343827
664	0.2563516915
665	0.2562591619
666	0.2561395107
667	0.2560506117
668	0.2559440054
669	0.2558036674
670	0.2557008062
671	0.2556534431
672	0.2555620325
673	0.2554551433
674	0.2553019391
675	0.2552058641
676	0.2550989237
677	0.2550091058
678	0.2549745335
679	0.2548738446
680	0.2547476986
681	0.2546535291
682	0.2545661166
683	0.2544579956
684	0.2543572872
685	0.2542625619
686	0.2541270085
687	0.2540706755
688	0.2539742988
689	0.2537735139
690	0.2536963111
691	0.2536254978
692	0.253548237
693	0.2534635997
694	0.2533693338
695	0.2532493065
696	0.2531491317
697	0.253067205
698	0.2529692161
699	0.2528707506
700	0.2527211358
701	0.2525603514
702	0.2524856317
703	0.2523594104
704	0.2522606891
705	0.2521965057
706	0.2521129527
707	0.2520213747
708	0.2519427448
709	0.2518532836
710	0.2517735377
711	0.2516555106
712	0.2515529556
713	0.2514402654
714	0.2513481408
715	0.2512903912
716	0.2512273439
717	0.2511383442
718	0.2510616509
719	0.2509941832
720	0.2507563366
721	0.2506891553
722	0.2506060021
723	0.2505066492
724	0.2504041715
725	0.2503355297
726	0.2502480124
727	0.250107596
728	0.2500327383
729	0.24985289
730	0.2497770658
731	0.2496655629
732	0.2496197119
733	0.2494886895
734	0.2494061692
735	0.2493325746
736	0.2492568427
737	0.2492094882
738	0.2491057845
739	0.2490119687
740	0.2489299529
741	0.2487680028
742	0.2486967662
743	0.2486194874
744	0.2485264197
745	0.2483885007
746	0.2483383111
747	0.2482603815
748	0.2481768814
749	0.2480940763
750	0.2480013482
751	0.2479385965
752	0.2478805165
753	0.2477826473
754	0.2477096551
755	0.2476118418
756	0.2475699174
757	0.247496103
758	0.2474371853
759	0.2473468424
760	0.2472528018
761	0.2471551628
762	0.2470603955
763	0.2469690186
764	0.2468462912
765	0.2467241933
766	0.2466676611
767	0.2466002417
768	0.2465295171
769	0.2464785553
770	0.246383214
771	0.2462427957
772	0.2461722333
773	0.2460791559
774	0.2459725178
775	0.2458356117
776	0.24574703
777	0.2456943219
778	0.2455952147
779	0.2454682986
780	0.2453676215
781	0.2452569636
782	0.2451671091
783	0.2450400185
784	0.2449334167
785	0.2448238528
786	0.2447375563
787	0.2446275455
788	0.2445126744
789	0.2443541907
790	0.244312204
791	0.2442050696
792	0.2441075961
793	0.2440362642
794	0.2439574259
795	0.2438090715
796	0.2436848951
797	0.2435812444
798	0.2434857279
799	0.243357702
800	0.2432412059
801	0.243158238
802	0.2430408376
803	0.2429854676
804	0.2429232799
805	0.2428446911
806	0.2427783098
807	0.242656645
808	0.2425591775
809	0.2424606428
810	0.2423200568
811	0.24220007
812	0.2421165879
813	0.2420082086
814	0.2418595714
815	0.2418146392
816	0.2417597916
817	0.2416531867
818	0.2415830862
819	0.2414486639
820	0.2413664309
821	0.2412500502
822	0.2411547658
823	0.2410907313
824	0.2410081742
825	0.2408760267
826	0.2407882631
827	0.2406301286
828	0.2405508449
829	0.2404016228
830	0.2403572399
831	0.2403100757
832	0.2402431255
833	0.2401543259
834	0.2400509013
835	0.2399644426
836	0.2398386179
837	0.2397476327
838	0.2396964483
839	0.2396075909
840	0.2395300416
841	0.2394002859
842	0.2393020305
843	0.2391934586
844	0.2390544315
845	0.2389734989
846	0.2388638204
847	0.2387365419
848	0.2386063917
849	0.2385264741
850	0.2384400445
851	0.2383571602
852	0.2382516841
853	0.2381417905
854	0.2380685284
855	0.2379796224
856	0.2379160659
857	0.2378421714
858	0.2377525699
859	0.2376322603
860	0.2375417822
861	0.2374671892
862	0.2374020964
863	0.2373394969
864	0.2372465352
865	0.2371172426
866	0.2370258066
867	0.2369317074
868	0.2368798144
869	0.2367859662
870	0.2367133202
871	0.2367013831
872	0.2366153499
873	0.2365424964
874	0.2364219041
875	0.2363608056
876	0.2362690737
877	0.2362170056
878	0.2361749404
879	0.2361078497
880	0.2360731257
881	0.2360071566
882	0.2359617831
883	0.2358797334
884	0.2357940449
885	0.2357019657
886	0.2356424368
887	0.2355823261
888	0.235489407
889	0.2353657756
890	0.2352721728
891	0.2351338826
892	0.2350659611
893	0.2349122705
894	0.2348508972
895	0.2347638631
896	0.23471839
897	0.2346345856
898	0.2345975076
899	0.2344922292
900	0.2344239349
901	0.2343083955
902	0.2342111536
903	0.2341439038
904	0.2340466075
905	0.2339678558
906	0.2338907989
907	0.2338198874
908	0.2337520879
909	0.2336732091
910	0.233572394
911	0.2334650947
912	0.2334173395
913	0.2333644685
914	0.2332630362
915	0.2331169997
916	0.2330343043
917	0.2329747056
918	0.2329144952
919	0.2328192868
920	0.2327164662
921	0.2325919072
922	0.2325233136
923	0.232434287
924	0.2323633448
925	0.2322777905
926	0.2322038914
927	0.2321348834
928	0.2320652683
929	0.2319845037
930	0.2319125575
931	0.2318266019
932	0.231787191
933	0.2316891893
934	0.2316240869
935	0.2315094418
936	0.2314365808
937	0.2313528755
938	0.2312517579
939	0.2311558745
940	0.2310487228
941	0.2309746294
942	0.2308301545
943	0.2307678231
944	0.230693074
945	0.2305578086
946	0.2304908662
947	0.2304311201
948	0.2303123119
949	0.2302110036
950	0.230171134
951	0.2300835962
952	0.2300210008
953	0.2299197594
954	0.229852712
955	0.2297569654
956	0.2296754756
957	0.2295613166
958	0.2294393166
959	0.2293646371
960	0.2292632619
961	0.2291434853
962	0.2290056119
963	0.2289395539
964	0.2288761005
965	0.228825021
966	0.2287525168
967	0.2286638757
968	0.2285779255
969	0.2284792831
970	0.2283795591
971	0.2283333926
972	0.2282653103
973	0.2281488355
974	0.2280861491
975	0.2280221901
976	0.2279691375
977	0.2279183146
978	0.2278025671
979	0.2277326115
980	0.227676988
981	0.227608836
982	0.2275500383
983	0.2275160738
984	0.2274517828
985	0.2273801103
986	0.2272769262
987	0.2271874968
988	0.2271263046
989	0.2270677356
990	0.2269901289
991	0.2269345036
992	0.2268599094
993	0.2267693171
994	0.2266993387
995	0.2266373595
996	0.2265784807
997	0.2264960843
998	0.2264364523
999	0.2263649543
